N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,엔씨소프트,"235,000","2,500",+1.08%,500,"51,592","21,954",41.81,"78,242",17.68,13.73,
60,한미반도체,"52,700",200,+0.38%,100,"51,298","97,339",10.72,"989,646",25.45,25.04,
61,한화오션,"23,550",50,-0.21%,"5,000","51,074","216,873",3.33,"628,400",-2.20,-117.79,
62,금양,"87,400",400,-0.46%,500,"50,736","58,050",6.99,"627,166",-118.27,-24.34,
63,LG생활건강,"322,500","7,000",+2.22%,"5,000","50,369","15,618",31.03,"106,589",30.34,4.41,
64,오리온,"124,600","4,800",+4.01%,500,"49,262","39,536",41.75,"93,906",12.16,16.47,
65,한국타이어앤테크놀로지,"38,900",700,+1.83%,500,"48,187","123,875",39.46,"598,600",9.57,8.14,
66,삼성엔지니어링,"24,350",600,+2.53%,"5,000","47,726","196,000",50.30,"973,601",5.32,28.32,
67,SK바이오사이언스,"60,700",100,+0.17%,500,"46,608","76,784",5.33,"71,041",249.79,N/A,
68,카카오페이,"34,600",400,+1.17%,500,"46,404","134,115",39.89,"182,395",92.27,3.08,
69,HD현대,"57,500",100,+0.17%,"1,000","45,421","78,993",17.36,"107,956",10.32,20.43,
70,LG유플러스,"10,300",190,+1.88%,"5,000","44,971","436,611",38.95,"1,050,514",6.46,8.37,
71,한국항공우주,"45,700","1,500",+3.39%,"5,000","44,546","97,475",25.56,"783,111",62.26,8.78,
72,현대제철,"33,350",600,+1.83%,"5,000","44,504","133,446",26.32,"516,718",8.56,5.56,
73,유한양행,"57,800",400,+0.70%,"1,000","44,297","76,639",18.37,"374,974",59.16,4.86,
74,LG디스플레이,"12,250",60,+0.49%,"5,000","43,832","357,816",17.20,"736,695",-0.92,-26.71,
75,CJ제일제당,"289,000","6,500",+2.30%,"5,000","43,507","15,054",22.57,"25,362",16.17,9.26,
76,KODEX KOFR금리액티브(합성),"104,725",10,+0.01%,0,"42,599","40,677",0.00,"28,101",N/A,N/A,
77,SK아이이테크놀로지,"59,100",200,-0.34%,"1,000","42,137","71,298",9.08,"174,116",176.42,-1.35,
78,코스모신소재,"135,400","4,000",-2.87%,"1,000","41,501","30,651",14.04,"153,384",199.71,12.13,
